web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276245-6929","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Diego Vazquez","W","RNC","Canada Nat. Pro","U110KG","SF","2017","Jonathan Satava","RNC"
"1592275711-5646","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","K. Schorabski","L","Pts: 3x2","Grand Slam LDN","77KG","R1","2018","Jan Buatim","null"
"1592275605-5417","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Igor Paiva","L","Points","Dallas SMO","ABS","4F","2019","Vinicius Garcia","Igor Paiva"
"1592276107-6411","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Felipe Cesar","L","Pts: 2x2, Adv","UAEJJF NYC Pro","LWABS","F","2016","Francisco Iturralde","Felipe Cesar"
"1592276126-6494","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","4
1
1
1
1","0","0","World NG","4F","Gordon Ryan","E. Evangelous"
"1592275774-5769","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Victor Matos","W","Pts: 2x0","Grand Slam AD","69KG","SF","2018","Tiago Bravo","null"
"1592276245-6938","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","AJ Agazarm","W","Pts: 5x0","WP US Qualifier","77KG","RR","2017","Jonathan Satava","AJ Agazarm"
"1592276293-7197","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Victor Bomfim","L","Adv","Rio Winter Open","ABS","R2","2016","Ruan de Oliveira","null"
"1592276225-6869","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Nisar Loynab","L","Pts: 6x2","World Champ.","88KG","R1","2019","Alec Baulding","Nisar Loynab"
"1592275724-5681","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Victor Silverio","L","Pts: 0x0, Adv","San Diego Pro","82KG","4F","2017","Breno Bittencourt","Victor Silverio"
"1592275724-5684","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Matt Leighton","W","Pts: 5x0","Atlanta SM Open","ABS","4F","2017","Breno Bittencourt","Matt Leighton"
"1592275947-5938","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Vitor Toledo","W","Pts: 5x0","Rio Winter Open","100KG","F","2017","Fernando Reis","Vitor Toledo"
"1592275802-5816","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Mahamed Aly","L","Cross choke","Rome Open","100KG","F","2017","Muslim Patsarigov","Mahamed Aly"
"1592275605-5386","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Joao Ferreira","W","Kimura","Salvador NG Open","85KG","F","2016","Vinicius Garcia","Kimura"
"1592276203-6759","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Ygor Dantas","W","Triangle","BH Winter Open","82KG","SF","2018","Yan “Pica-Pau” Lucas","Triangle"
"1592276084-6291","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","T. Hopstock","L","Footlock","Copa Podio","77KG","RR","2019","Jhonny Loureiro","null"
"1592276107-6423","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Jonathan Satava","L","Pts: 2x0","NoGi Worlds","79KG","SF","2016","Francisco Iturralde","Jonathan Satava"
"1592276107-6455","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Michael Perez","W","Referee Decision","W.S.O.G.","81KG","4F","2018","Francisco Iturralde","Michael Perez"
"1592275947-5956","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Rafael Santos","W","N/A","Sao Paulo Open","100KG","SF","2018","Fernando Reis","null"
"1592275649-5527","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Nicolas Marcho","W","Points","Paris Fall Open","82KG","RR","2018","Ilke Bulut","null"
"1592276062-6229","https://www.bjjheroes.com/a-z-bjj-fighters-list","Miguel Angel","https://www.bjjheroes.com/?p=6674","Luis Shaerer","W","Armbar","Copa Podio","ABS","SPF","2016","Miguel Ángel Alderete","Armbar"
"1592275984-6173","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Erberth Santos","L","Pts: 0x0, Adv","Brasileiro","ABS","4F","2015","Cassio Francis","Erberth Santos"
"1592276265-7060","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Johnny Tama","W","Pts: 4x2","American Nats","76KG","R1","2017","Kevin Mahecha","Johnny Tama"
"1592276144-6682","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Austin Vanderford","L","EBI/OT","SUG 13","ABS","SPF","2020","Richie Martinez","null"
"1592276225-6848","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Nathan Mendelsohn","L","Pts: 2x2, Pen","European Open","82KG","R1","2018","Alec Baulding","Nathan Mendelsohn"
"1592276107-6433","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Jamil Hill-Taylor","L","Referee Decision","FIVE Super League","70KG","4F","2017","Francisco Iturralde","Jamil Hill-Taylor"
"1592276293-7174","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","George Mello","W","Armbar","Rei do Rio FJJRJ","94KG","F","2016","Ruan de Oliveira","Armbar"
"1592276245-6892","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Youngam Noh","W","RNC","NY No Gi Open","ABS","4F","2015","Jonathan Satava","RNC"
"1592276281-7111","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Paulo Silva","W","Points","Miami Open","76KG","4F","2015","Brian Mahecha","null"
"1592276265-7048","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Bruno Martins","W","Injury","European Open","76KG","8F","2017","Kevin Mahecha","null"
"1592276265-7028","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Brian Mahecha","L","Points","Houston Nat. Pro","O77KG","F","2015","Kevin Mahecha","Brian Mahecha"
"1592276126-6480","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","2
1


1","0","0","EBI","4F","Gordon Ryan","Patrick Donabedian"
"1592275724-5711","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Daniel Speirn","W","Pts: 6x4","Portland SMO","82KG","F","2019","Breno Bittencourt","null"
"1592275802-5819","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Nelton Pontes","L","Pts: 2x0","World Pro","110KG","R1","2018","Muslim Patsarigov","Nelton Pontes"
"1592275973-6136","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Santos Rivera","W","Pts: 4x2","Grand Slam LA","56KG","SF","2018","José Carlos Lima","null"
"1592276245-6923","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Vinicius Cabanez","W","Choke","UAEJJF NY Pro","85KG","SF","2017","Jonathan Satava","null"
"1592276203-6719","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Carlos Farias","W","Pts: 2x0","Chicago Sp. Open","ABS","SF","2017","Yan “Pica-Pau” Lucas","Carlos Farias"
"1592276203-6771","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Vitor Corte","W","Referee Decision","Grand Slam RJ","77KG","R2","2018","Yan “Pica-Pau” Lucas","null"
"1592275947-5997","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Leon Brito","W","Pts: 2x0","BH Spring Open","94KG","F","2019","Fernando Reis","null"
"1592275605-5423","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Daniel Olivier","W","Canto choke","New Orleans Open","88KG","SF","2020","Vinicius Garcia","null"
"1592276126-6568","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Marcos Souza","W","RNC","Quintet 3","ABS","SF","2018","Gordon Ryan","Marcos Souza"
"1592276126-6576","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Kalil Fadlallah","W","Choke","NoGi Worlds","ABS","R1","2018","Gordon Ryan","null"
"1592275649-5495","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Sergio Calderon","W","Pts: 18x0","Berlin Open","76KG","F","2015","Ilke Bulut","Sergio Calderon"
"1592276293-7226","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Jaime Canuto","L","Pts: 2x0","World Champ.","82KG","4F","2018","Ruan de Oliveira","Jaime Canuto"
"1592276225-6822","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Diogo Sampaio","L","Referee Decision","World Champ.","82KG","R2","2016","Alec Baulding","Diogo Sampaio"
"1592275874-5859","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Fabio Caloi","W","Triangle","World Champ.","70KG","4F","2017","Jamil Hill-Taylor","Fabio Caloi"
"1592276311-7265","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Ricardo Feliciano","L","Points","American Nat.","O100KG","F","2015","Evandro Nunes","Ricardo Feliciano"
"1592275802-5825","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Max Bickerton","W","Straight ankle lock","ADCC EU Trials","99KG","SF","2018","Muslim Patsarigov","Straight ankle lock"
"1592275965-6010","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Leandro Lo","L","Pts: 2x0","Copa Podio","86KG","GP","2016","Max Gimenis","Leandro Lo"
"1592276265-7062","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Thiago Macedo","L","Pts: 2x2, Adv","Miami Fall Open","70KG","SF","2017","Kevin Mahecha","Thiago Macedo"
"1592276203-6797","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Luan Martina","W","Pts: 0x0, Adv","South American","88KG","R1","2019","Yan “Pica-Pau” Lucas","null"
"1592276126-6582","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Gabriel Checco","W","Kimura","Kinektic 1","ABS","R3","2019","Gordon Ryan","Kimura"
"1592276281-7138","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Silvio Duran","L","Pts: 2x0","BJJ NY Pro","70KG","4F","2017","Brian Mahecha","Silvio Duran"
"1592275724-5687","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Jeffrey Cummings","W","Points","Miami Fall Open","76KG","4F","2017","Breno Bittencourt","null"
"1592275724-5674","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Blake Nolan","W","RNC","American NG Nats","73KG","F","2017","Breno Bittencourt","RNC"
"1592276281-7142","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Hiroaki Otsuka","L","Pts: 6x6, Adv","Pan American","70KG","8F","2018","Brian Mahecha","null"
"1592275802-5818","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","AJ Agazarm","L","DQ","European NoGi","ABS","SF","2017","Muslim Patsarigov","AJ Agazarm"
"1592276293-7187","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Rodrigo Cavaca","L","Botinha","Brasileiro","ABS","8F","2016","Ruan de Oliveira","Rodrigo Cavaca"
"1592276225-6826","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Andrew Wooten","W","Points","Atlanta S. Open","88KG","F","2016","Alec Baulding","null"
"1592276107-6471","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","A. Munis","L","Pts: 2x0","Copa Podio","76KG","SF","2020","Francisco Iturralde","null"
"1592275947-5955","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Luis Teixeira","W","N/A","Sao Paulo Open","100KG","4F","2018","Fernando Reis","null"
"1592275700-5556","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Javier Valenciano","W","Armbar","GQ UFC Expo","ABS","N/A","2010","Enrico Cocco","Armbar"
"1592275700-5558","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Bill Cooper","L","Pts: 2x0","GQ UFC Expo","ABS","NA","2010","Enrico Cocco","Bill Cooper"
"1592276126-6565","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Charles McGuire","W","Tarikoplata","No Gi Pan Am.","O97KG","SF","2018","Gordon Ryan","null"
"1592276298-7254","https://www.bjjheroes.com/a-z-bjj-fighters-list","Chris","https://www.bjjheroes.com/?p=6395","Rodrigo Ranieri","L","Points","GQ Las Vegas","70KG","N/A","2009","Chris Holdsworth","Rodrigo Ranieri"
"1592276245-6918","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Cassio Francis","W","Referee Decision","NoGi Pan Ams","ABS","SF","2016","Jonathan Satava","Cassio Francis"
"1592276265-7011","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Garrett Beck","W","Pts: 10x0","Boston Spring Open","76KG","4F","2015","Kevin Mahecha","null"
"1592275947-5928","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Leandro Lo","L","Pts: 2x0","Brasileiro","100KG","SF","2017","Fernando Reis","Leandro Lo"
"1592276245-6973","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Stanley Rosa","W","Choke","ADCC EC Trials","77KG","R1","2018","Jonathan Satava","null"
"1592275874-5841","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","L","L","0","1
1



1","0","World","RR","Jamil Hill-Taylor","Rubens Charles"
"1592275834-5838","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jack","https://www.bjjheroes.com/?p=7075","","","","","","","","Jack McVicker",""
"1592276281-7139","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Thiago Macedo","L","Armbar","San Antonio Open","70KG","SF","2017","Brian Mahecha","Thiago Macedo"
"1592276144-6662","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Matthew Tesla","L","Outside heel hook","Sapateiro 6","ABS","SF","2017","Richie Martinez","Outside heel hook"
"1592275649-5489","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Sandro Vieira","L","Pts: 2x0","European","76KG","R2","2015","Ilke Bulut","null"
"1592276097-6332","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Antonio Junior","W","Armlock","World Champ.","ABS","R1","2017","Dany Gerard","null"
"1592275724-5697","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Gabriel Procopio","W","Points","San Jose Open","82KG","SF","2018","Breno Bittencourt","null"
"1592275711-5619","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Jaime Canuto","L","Armbar","Sao Paulo Open","82KG","8F","2016","Jan Buatim","Jaime Canuto"
"1592276203-6741","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Johnny Tama","L","Estima lock","FIVE Super League","N/A","SPF","2017","Yan “Pica-Pau” Lucas","Johnny Tama"
"1592275965-6094","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Aaron Johnson","W","Pts: 11x0","No Gi Pan Am.","O97KG","F","2019","Max Gimenis","Aaron Johnson"
"1592276175-6692","https://www.bjjheroes.com/a-z-bjj-fighters-list","Darson","https://www.bjjheroes.com/?p=6493","Alexandre Bezerra","W","Ankle lock","NY Spring Open","76KG","4F","2016","Darson Hemmings","null"
"1592275984-6211","https://www.bjjheroes.com/a-z-bjj-fighters-list","Cassio","https://www.bjjheroes.com/?p=6792","Marcos Goulart","W","Points","Brasilia Open","100KG","F","2017","Cassio Francis","null"
"1592276252-6985","https://www.bjjheroes.com/a-z-bjj-fighters-list","Pedro","https://www.bjjheroes.com/?p=6359","Jared Dopp","L","Choke from back","Houston Open","ABS","4F","2016","Pedro Araújo","Jared Dopp"
"1592276126-6591","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Lachlan Giles","W","RNC","ADCC","ABS","SF","2019","Gordon Ryan","Lachlan Giles"
"1592275700-5598","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","N. Domgjoni","W","Pts: 3x0","ADCC WC Trials","77KG","8F","2019","Enrico Cocco","null"
"1592276126-6493","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","W","W","2


1
1","2
2



11","0","F2W","RR","Gordon Ryan","Eliot Kelly"
"1592276084-6236","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Elfrankli Souza","W","Pts: 4x0","Floripa NoGi Open","79KG","SF","2015","Jhonny Loureiro","null"
"1592275965-6039","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Piter Frank","W","Choke from back","Miami Fall Open","ABS","4F","2017","Max Gimenis","Choke from back"
"1592275624-5438","https://www.bjjheroes.com/a-z-bjj-fighters-list","Paul","https://www.bjjheroes.com/?p=7502","Raphael Davis","W","Pts: 2x0","ADCC WC Trials","99KG","4F","2017","Paul Ardila-Ibarra","null"
"1592275711-5635","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Mustakov Aiazbek","W","Points","ACBJJ World","85KG","SF","2017","Jan Buatim","null"
"1592275947-5922","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Lucas Barbosa","W","Pts: 2x0","Charlotte Open","ABS","F","2016","Fernando Reis","Lucas Barbosa"
"1592276084-6246","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jhonny","https://www.bjjheroes.com/?p=6596","Elfrankli Souza","W","Footlock","Brasileiro","82KG","8F","2016","Jhonny Loureiro","null"
"1592276062-6224","https://www.bjjheroes.com/a-z-bjj-fighters-list","Miguel Angel","https://www.bjjheroes.com/?p=6674","Giovanne Guedes","W","Pts: 4x2","Argentina Nat. Pro","94KG","F","2016","Miguel Ángel Alderete","null"
"1592276139-6604","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Andre Galvao","L","Pts: 4x2","Pan American","ABS","8F","2008","Marcel Fortuna","Andre Galvao"
"1592275973-6140","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jose Carlos","https://www.bjjheroes.com/?p=6801","Marlison Santos","W","Points","Brasileiro","57KG","R1","2019","José Carlos Lima","null"
"1592275649-5482","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Darragh OConaill","L","North south choke","London NoGi Open","79KG","F","2014","Ilke Bulut","Darragh OConaill"
"1592276311-7272","https://www.bjjheroes.com/a-z-bjj-fighters-list","Evandro","https://www.bjjheroes.com/?p=6324","Erberth Santos","L","Pts: 10x0","Grand Slam LA","94KG","F","2015","Evandro Nunes","Erberth Santos"
"1592275605-5383","https://www.bjjheroes.com/a-z-bjj-fighters-list","Vinicius","https://www.bjjheroes.com/?p=7636","Sergio Benini","L","Points","BH Open","82KG","F","2016","Vinicius Garcia","Sergio Benini"
"1592275629-5464","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kristian","https://www.bjjheroes.com/?p=7476","Luca Anacoreta","L","Choke from back","Dublin Open","ABS","SF","2018","Kristian Woodmansee","Luca Anacoreta"
"1592276225-6812","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Pedro Mello","W","Points","Dallas Open","88KG","SF","2015","Alec Baulding","Pedro Mello"
"1592276139-6622","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","James Puopolo","W","Points","SF Open","100KG","F","2012","Marcel Fortuna","James Puopolo"
"1592276203-6729","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Pedro Pimenta","W","Pts: 2x0","Las Vegas Open","88KG","4F","2017","Yan “Pica-Pau” Lucas","null"
"1592276144-6646","https://www.bjjheroes.com/a-z-bjj-fighters-list","Richard","https://www.bjjheroes.com/?p=6531","Derrick Garza","W","Heel hook","Onnit Invit.","ABS","4F","2015","Richie Martinez","Heel hook"
"1592275774-5789","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Samir Chantre","W","Pts: 2x2, Adv","King of Mats","69KG","RR","2019","Tiago Bravo","Samir Chantre"
"1592275874-5896","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Isaac Doederlein","W","Pts: 2x0","Pan American","70KG","SF","2019","Jamil Hill-Taylor","Isaac Doederlein"
"1592276245-6970","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jonathan","https://www.bjjheroes.com/?p=6354","Ruan Oliveira","L","Pts: 0x0, Adv","World Champ.","82KG","8F","2018","Jonathan Satava","Ruan Oliveira"
"1592276126-6555","https://www.bjjheroes.com/a-z-bjj-fighters-list","Gordon","https://www.bjjheroes.com/?p=6550","Felipe Pena","L","Pts: 6x0","ADCC","ABS","F","2017","Gordon Ryan","Felipe Pena"
"1592275774-5798","https://www.bjjheroes.com/a-z-bjj-fighters-list","Tiago","https://www.bjjheroes.com/?p=7156","Haidar Abbas","W","Pts: 4x3","Grand Slam AD","69KG","R1","2020","Tiago Bravo","null"
"1592275947-5929","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Marcus Ruiz","W","Choke","Curitiba Fall Open","100KG","SF","2017","Fernando Reis","null"
"1592275700-5565","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Vagner Rocha","L","Referee Decision","ADCC US Trials","77KG","SF","2013","Enrico Cocco","Vagner Rocha"
"1592276225-6830","https://www.bjjheroes.com/a-z-bjj-fighters-list","Alec","https://www.bjjheroes.com/?p=6351","Marcos Ntumu","W","Choke from back","European Open","82KG","8F","2017","Alec Baulding","Choke from back"
"1592276097-6324","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Louis Villareal","W","Kimura","SJJIF NG World","ABS","F","2016","Dany Gerard","Kimura"
"1592275965-6014","https://www.bjjheroes.com/a-z-bjj-fighters-list","Max","https://www.bjjheroes.com/?p=6805","Alex Aparecido","L","Referee Decision","Sao Paulo Open","ABS","4F","2016","Max Gimenis","null"
"1592276139-6621","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Leo Machado","W","Points","SF Open","100KG","SF","2012","Marcel Fortuna","null"
"1592275649-5535","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Hygor Brito","L","Choke from back","Torino Challenge","ABS","4F","2020","Ilke Bulut","Hygor Brito"
"1592275649-5511","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Andris Brunovskis","L","Cross choke","European Open","76KG","4F","2017","Ilke Bulut","Andris Brunovskis"
"1592276265-7049","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Luan Carvalho","L","Botinha","European Open","76KG","4F","2017","Kevin Mahecha","Luan Carvalho"
"1592275711-5618","https://www.bjjheroes.com/a-z-bjj-fighters-list","Jan","https://www.bjjheroes.com/?p=7256","Áquila Paula","W","Pts: 2x0","Sao Paulo Open","82KG","R1","2016","Jan Buatim","null"
"1592276281-7128","https://www.bjjheroes.com/a-z-bjj-fighters-list","Brian","https://www.bjjheroes.com/?p=6366","Isaac Doederlein","L","Pts: 6x4","Grand Slam LA","69KG","SF","2016","Brian Mahecha","Isaac Doederlein"
"1592275700-5596","https://www.bjjheroes.com/a-z-bjj-fighters-list","Enrico","https://www.bjjheroes.com/?p=7247","Edmund Kim","W","Inside heel hook","ADCC WC Trials","77KG","R3","2019","Enrico Cocco","Inside heel hook"
"1592276293-7235","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Andrey Martins","W","N/A","South Brazilian","88KG","4F","2019","Ruan de Oliveira","null"
"1592276293-7205","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Bruno","W","Wristlock","Indoor Black Belt","88KG","4F","2016","Ruan de Oliveira","null"
"1592275724-5695","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Andris Brunovskis","W","Pts: 6x4","Pan American","76KG","4F","2018","Breno Bittencourt","Andris Brunovskis"
"1592276097-6362","https://www.bjjheroes.com/a-z-bjj-fighters-list","Dany","https://www.bjjheroes.com/?p=6592","Guthierry Barbosa","L","Submission","Las Vegas Open","ABS","F","2019","Dany Gerard","Guthierry Barbosa"
"1592275649-5513","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ilke","https://www.bjjheroes.com/?p=7376","Pedro Farias","W","Referee Decision","Grand Slam LDN","77KG","4F","2017","Ilke Bulut","null"
