web-scraper-order,web-scraper-start-url,athlete,athlete-href,opponent1,winLoss,method,competition,weight,stage,year,name,opponent2
"1592276293-7173","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Romulo Caju","W","Botinha","Rei do Rio FJJRJ","94KG","SF","2016","Ruan de Oliveira","Botinha"
"1592276139-6610","https://www.bjjheroes.com/a-z-bjj-fighters-list","Marcel","https://www.bjjheroes.com/?p=6503","Rafael Lovato","L","RNC","NoGi Worlds","100KG","SF","2009","Marcel Fortuna","Rafael Lovato"
"1592276203-6803","https://www.bjjheroes.com/a-z-bjj-fighters-list","Yan","https://www.bjjheroes.com/?p=6432","Rafael Paganini","W","Referee Decision","South American","ABS","F","2019","Yan “Pica-Pau” Lucas","Rafael Paganini"
"1592275802-5829","https://www.bjjheroes.com/a-z-bjj-fighters-list","Muslim","https://www.bjjheroes.com/?p=7111","Eldar Rafigaev","L","Triangle","World Pro","110KG","R1","2019","Muslim Patsarigov","Eldar Rafigaev"
"1592275947-5930","https://www.bjjheroes.com/a-z-bjj-fighters-list","Fernando Andrade","https://www.bjjheroes.com/?p=6825","Adriano Sousa","W","Mounted X choke","Curitiba Fall Open","100KG","F","2017","Fernando Reis","null"
"1592276265-7057","https://www.bjjheroes.com/a-z-bjj-fighters-list","Kevin","https://www.bjjheroes.com/?p=6368","Roberto Abreu","L","Armbar","Miami Spring Open","ABS","4F","2017","Kevin Mahecha","Roberto Abreu"
"1592275874-5901","https://www.bjjheroes.com/a-z-bjj-fighters-list","Shane","https://www.bjjheroes.com/?p=7002","Felipe Linhares","W","Points","NY Spring Open","76KG","SF","2019","Jamil Hill-Taylor","Felipe Linhares"
"1592275724-5690","https://www.bjjheroes.com/a-z-bjj-fighters-list","Breno","https://www.bjjheroes.com/?p=7143","Gabriel Procopio","W","Points","Los Angeles Open","82KG","4F","2018","Breno Bittencourt","null"
"1592276293-7232","https://www.bjjheroes.com/a-z-bjj-fighters-list","Ruan","https://www.bjjheroes.com/?p=6375","Edson Oliveira","W","Points","Sao Paulo Open","88KG","SF","2018","Ruan de Oliveira","null"
"1592276107-6468","https://www.bjjheroes.com/a-z-bjj-fighters-list","Francisco","https://www.bjjheroes.com/?p=6563","Kanan Clarke","D","---","Copa Podio","76KG","RR","2020","Francisco Iturralde","null"
